trade_date,calendar_date,dte_remaining,spot,pnl_usd,source
2025-05-02,2025-05-02,7,20102.6100,-0.0000,market
2025-05-02,2025-05-05,4,19967.9400,789.5600,bs_model
2025-05-02,2025-05-06,3,19791.3500,808.6400,bs_model
2025-05-02,2025-05-07,2,19867.9700,1349.0500,bs_model
2025-05-02,2025-05-08,1,20063.5600,1898.8900,bs_model
2025-05-02,2025-05-09,0,20061.4500,1940.0000,intrinsic
2025-05-09,2025-05-09,7,20061.4500,-880.0000,market
2025-05-09,2025-05-12,4,20868.1500,-4859.7600,bs_model
2025-05-09,2025-05-13,3,21197.7000,-7377.3300,bs_model
2025-05-09,2025-05-16,0,21427.9400,-8890.0000,intrinsic
2025-05-16,2025-05-16,7,21427.9400,0.0000,market
2025-05-16,2025-05-19,4,21447.0500,390.0000,market
2025-05-16,2025-05-20,3,21367.3700,1270.7500,bs_model
2025-05-16,2025-05-21,2,21080.3600,798.6400,bs_model
2025-05-16,2025-05-22,1,21112.4700,1387.8800,bs_model
2025-05-16,2025-05-23,0,20915.6600,1106.0200,intrinsic
2025-05-23,2025-05-23,7,20915.6600,-0.0000,market
2025-05-23,2025-05-27,3,21414.9900,-1208.4500,bs_model
2025-05-23,2025-05-28,2,21318.1700,10.5400,bs_model
2025-05-23,2025-05-29,1,21363.9500,456.7600,bs_model
2025-05-23,2025-05-30,0,21340.9900,2010.0000,intrinsic
2025-05-30,2025-05-30,7,21340.9900,-0.0000,market
2025-05-30,2025-06-02,4,21491.7500,233.6500,bs_model
2025-05-30,2025-06-03,3,21662.5800,-375.2400,bs_model
2025-05-30,2025-06-04,2,21721.9200,-407.3200,bs_model
2025-05-30,2025-06-05,1,21547.4300,1613.0900,bs_model
2025-05-30,2025-06-06,0,21761.7900,1975.0000,intrinsic
2025-06-06,2025-06-06,7,21761.7900,0.0000,market
2025-06-06,2025-06-09,4,21797.8700,400.0000,market
2025-06-06,2025-06-10,3,21941.9200,505.2700,bs_model
2025-06-06,2025-06-11,2,21860.8000,1430.4100,bs_model
2025-06-06,2025-06-12,1,21913.3200,1783.9600,bs_model
2025-06-06,2025-06-13,0,21631.0400,2010.0000,intrinsic
2025-06-13,2025-06-13,7,21631.0400,0.0000,market
2025-06-13,2025-06-16,4,21937.5700,-768.4800,bs_model
2025-06-13,2025-06-17,3,21719.0800,837.4500,bs_model
2025-06-13,2025-06-18,2,21719.6900,1324.4100,bs_model
2025-06-13,2025-06-20,0,21626.3900,1840.0000,intrinsic
2025-06-20,2025-06-20,7,21626.3900,0.0000,market
2025-06-20,2025-06-23,4,21856.3300,-462.2000,bs_model
2025-06-20,2025-06-24,3,22190.5200,-3043.3400,bs_model
2025-06-20,2025-06-25,2,22237.7400,-3565.0600,bs_model
2025-06-20,2025-06-26,1,22447.2900,-6835.5800,bs_model
2025-06-20,2025-06-27,0,22534.2000,-8355.0000,intrinsic
2025-07-11,2025-07-11,7,22780.6000,-0.0000,market
2025-07-11,2025-07-14,4,22855.6300,65.0000,market
2025-07-11,2025-07-15,3,22884.5900,753.8200,bs_model
2025-07-11,2025-07-16,2,22907.9700,1123.4200,bs_model
2025-07-11,2025-07-17,1,23081.0500,80.4700,bs_model
2025-07-11,2025-07-18,0,23065.4700,1925.0000,intrinsic
2025-07-18,2025-07-18,7,23065.4700,-0.0000,market
2025-07-18,2025-07-21,4,23180.0600,-265.0000,market
2025-07-18,2025-07-22,3,23063.5800,1171.5400,bs_model
2025-07-18,2025-07-23,2,23162.4100,1279.4300,bs_model
2025-07-18,2025-07-24,1,23219.8700,1558.0200,bs_model
2025-07-18,2025-07-25,0,23272.2500,1890.0000,intrinsic
2025-07-25,2025-07-25,7,23272.2500,-0.0000,market
2025-07-25,2025-07-28,4,23356.2700,45.0000,market
2025-07-25,2025-07-29,3,23308.3000,1119.8200,bs_model
2025-07-25,2025-07-30,2,23345.4100,1478.5600,bs_model
2025-07-25,2025-07-31,1,23218.1200,1970.8400,bs_model
2025-07-25,2025-08-01,0,22763.3100,-1658.9500,intrinsic
2025-08-01,2025-08-01,7,22763.3100,-0.0000,market
2025-08-01,2025-08-04,4,23188.6100,-1364.5500,bs_model
2025-08-01,2025-08-05,3,23018.5600,171.5700,bs_model
2025-08-01,2025-08-06,2,23315.0400,-2029.6100,bs_model
2025-08-01,2025-08-07,1,23389.5300,-2847.2400,bs_model
2025-08-01,2025-08-08,0,23611.2700,-7995.0000,intrinsic
2025-08-08,2025-08-08,7,23611.2700,-0.0000,market
2025-08-08,2025-08-11,4,23526.6300,465.0000,market
2025-08-08,2025-08-12,3,23839.2000,-189.3300,bs_model
2025-08-08,2025-08-13,2,23849.0400,238.1500,bs_model
2025-08-08,2025-08-14,1,23832.4400,1213.8100,bs_model
2025-08-08,2025-08-15,0,23712.0700,1935.0000,intrinsic
2025-08-15,2025-08-15,7,23712.0700,-0.0000,market
2025-08-15,2025-08-18,4,23713.7600,505.0000,market
2025-08-15,2025-08-19,3,23384.7700,260.9100,bs_model
2025-08-15,2025-08-20,2,23249.5700,-600.6300,bs_model
2025-08-15,2025-08-21,1,23142.5800,-1804.5800,bs_model
2025-08-15,2025-08-22,0,23498.1200,1865.0000,intrinsic
2025-08-22,2025-08-22,7,23498.1200,-0.0000,market
2025-08-22,2025-08-25,4,23425.6100,770.0000,market
2025-08-22,2025-08-26,3,23525.2900,1053.8500,bs_model
2025-08-22,2025-08-27,2,23565.8500,1412.1800,bs_model
2025-08-22,2025-08-28,1,23703.4500,1443.6200,bs_model
2025-08-22,2025-08-29,0,23415.4200,1920.0000,intrinsic
2025-08-29,2025-08-29,7,23415.4200,0.0000,market
2025-08-29,2025-09-02,3,23231.1100,958.5100,bs_model
2025-08-29,2025-09-03,2,23414.8400,1528.9200,bs_model
2025-08-29,2025-09-04,1,23633.0100,1411.2100,bs_model
2025-08-29,2025-09-05,0,23652.4400,1880.0000,intrinsic
2025-09-05,2025-09-05,7,23652.4400,-0.0000,market
2025-09-05,2025-09-08,4,23762.3000,5.0000,market
2025-09-05,2025-09-09,3,23839.8000,173.2800,bs_model
2025-09-05,2025-09-10,2,23849.2700,644.0300,bs_model
2025-09-05,2025-09-11,1,23992.5600,-85.1700,bs_model
2025-09-05,2025-09-12,0,24092.1900,1845.0000,intrinsic
2025-09-12,2025-09-12,7,24092.1900,-275.0000,market
2025-09-12,2025-09-15,4,24293.7800,-1210.0000,market
2025-09-12,2025-09-16,3,24274.2500,-135.1600,bs_model
2025-09-12,2025-09-17,2,24223.6900,728.3500,bs_model
2025-09-12,2025-09-18,1,24454.8900,-969.8100,bs_model
2025-09-12,2025-09-19,0,24626.2500,-8540.0000,intrinsic
2025-09-19,2025-09-19,7,24626.2500,0.0000,market
2025-09-19,2025-09-22,4,24761.0700,-260.0000,market
2025-09-19,2025-09-23,3,24580.1700,1095.3400,bs_model
2025-09-19,2025-09-24,2,24503.5700,1400.9300,bs_model
2025-09-19,2025-09-25,1,24397.3100,1410.5700,bs_model
2025-09-19,2025-09-26,0,24503.8500,1825.0000,intrinsic
2025-09-26,2025-09-26,7,24503.8500,-0.0000,market
2025-09-26,2025-09-29,4,24611.3500,340.0000,market
2025-09-26,2025-09-30,3,24679.9900,432.1100,bs_model
2025-09-26,2025-10-01,2,24800.8600,35.0100,bs_model
2025-09-26,2025-10-02,1,24892.7600,-236.0300,bs_model
2025-09-26,2025-10-03,0,24785.5200,1880.0000,intrinsic
2025-10-03,2025-10-03,7,24785.5200,0.0000,market
2025-10-03,2025-10-06,4,24978.5600,-610.0000,market
2025-10-03,2025-10-07,3,24840.2300,832.3900,bs_model
2025-10-03,2025-10-08,2,25136.6200,-949.8400,bs_model
2025-10-03,2025-10-09,1,25098.1800,368.3000,bs_model
2025-10-03,2025-10-10,0,24221.7400,-3295.0000,intrinsic
2025-10-24,2025-10-24,7,25358.1600,-0.0000,market
2025-10-24,2025-10-27,4,25821.5500,-1559.8300,bs_model
2025-10-24,2025-10-28,3,26012.1500,-3004.3000,bs_model
2025-10-24,2025-10-29,2,26119.8500,-4179.2700,bs_model
2025-10-24,2025-10-30,1,25734.8100,728.2200,bs_model
2025-10-24,2025-10-31,0,25858.1300,1935.0000,intrinsic
2025-10-31,2025-10-31,7,25858.1300,-0.0000,market
2025-10-31,2025-11-03,4,25972.9400,382.7600,bs_model
2025-10-31,2025-11-04,3,25435.7000,397.7700,bs_model
2025-10-31,2025-11-05,2,25620.0300,1313.9500,bs_model
2025-10-31,2025-11-06,1,25130.0400,-1396.9300,bs_model
2025-10-31,2025-11-07,0,25059.8100,-3105.0000,intrinsic
2025-11-28,2025-11-28,7,25434.8900,-0.0000,market
2025-11-28,2025-12-01,4,25342.8500,510.0000,market
2025-11-28,2025-12-02,3,25555.8600,630.0000,market
2025-11-28,2025-12-03,2,25606.5400,1144.9500,bs_model
2025-11-28,2025-12-04,1,25581.7000,1823.5400,bs_model
2025-11-28,2025-12-05,0,25692.0500,2020.0000,intrinsic
2025-12-19,2025-12-19,7,25346.1800,0.0000,market
2025-12-19,2025-12-22,4,25461.7000,515.0000,market
2025-12-19,2025-12-23,3,25587.8300,-567.2100,bs_model
2025-12-19,2025-12-24,2,25656.1500,-1061.5200,bs_model
2025-12-19,2025-12-26,0,25644.3900,1930.0000,intrinsic
2025-12-26,2025-12-26,7,25644.3900,0.0000,market
2025-12-26,2025-12-29,4,25525.5600,492.5000,market
2025-12-26,2025-12-30,3,25462.5600,751.0200,bs_model
2025-12-26,2025-12-31,2,25249.8500,-908.5900,bs_model
2025-12-26,2026-01-02,0,25206.1700,-3200.0000,intrinsic
2026-01-02,2026-01-02,7,25206.1700,-0.0000,market
2026-01-02,2026-01-05,4,25401.3200,133.0300,bs_model
2026-01-02,2026-01-06,3,25639.7100,-1322.0600,bs_model
2026-01-02,2026-01-07,2,25653.9000,-1117.5700,bs_model
2026-01-02,2026-01-08,1,25507.1000,1211.6200,bs_model
2026-01-02,2026-01-09,0,25766.2600,444.0200,intrinsic
2026-01-09,2026-01-09,7,25766.2600,260.0000,market
2026-01-09,2026-01-12,4,25787.6600,600.0000,market
2026-01-09,2026-01-13,3,25741.9500,1405.4100,bs_model
2026-01-09,2026-01-14,2,25465.9400,942.6000,bs_model
2026-01-09,2026-01-15,1,25547.0700,1781.2200,bs_model
2026-01-09,2026-01-16,0,25529.2600,2140.0000,intrinsic
2026-01-16,2026-01-16,7,25529.2600,-0.0000,market
2026-01-16,2026-01-20,3,24987.5700,-355.0000,market
2026-01-16,2026-01-21,2,25326.5800,1313.7700,bs_model
2026-01-16,2026-01-22,1,25518.3500,1873.1800,bs_model
2026-01-16,2026-01-23,0,25605.4700,1910.0000,intrinsic
2026-01-23,2026-01-23,7,25605.4700,0.0000,market
2026-01-23,2026-01-26,4,25713.2100,371.7400,bs_model
2026-01-23,2026-01-27,3,25939.7400,-242.2000,bs_model
2026-01-23,2026-01-28,2,26022.7900,-341.3900,bs_model
2026-01-23,2026-01-29,1,25884.3000,1368.4000,bs_model
2026-01-23,2026-01-30,0,25552.3900,1855.0000,intrinsic
2026-02-27,2026-02-27,7,24960.0400,0.0000,market
2026-02-27,2026-03-02,4,24992.6000,345.0000,market
2026-02-27,2026-03-03,3,24720.0800,547.5000,market
2026-02-27,2026-03-04,2,25093.6800,1012.5000,market
2026-02-27,2026-03-05,1,25020.4100,1287.5000,market
2026-02-27,2026-03-06,0,24643.0200,1475.0000,intrinsic
2026-03-06,2026-03-06,7,24643.0200,-0.0000,market
2026-03-06,2026-03-09,4,24967.2500,560.0000,market
2026-03-06,2026-03-10,3,24956.4700,1440.0000,market
2026-03-06,2026-03-11,2,24965.0100,1447.5000,market
2026-03-06,2026-03-12,1,24533.5800,1497.5000,market
2026-03-06,2026-03-13,0,24380.7300,1555.0000,intrinsic
2026-03-20,2026-03-20,7,23898.1500,0.0000,market
2026-03-20,2026-03-23,4,24188.5900,155.0000,market
2026-03-20,2026-03-24,3,24002.4500,1400.3200,bs_model
2026-03-20,2026-03-25,2,24162.9800,1441.0400,bs_model
2026-03-20,2026-03-26,1,23586.9900,2312.3200,bs_model
2026-03-20,2026-03-27,0,23132.7700,2325.0000,intrinsic
