date,trade_date,spot,pnl_usd,cumulative_pnl
2021-06-07,2021-06-07,4229.62,1355.0,1355.0
2021-06-14,2021-06-14,4242.32,1335.0,2690.0
2021-06-21,2021-06-21,4184.32,1725.0,4415.0
2021-06-28,2021-06-28,4279.57,1315.0,5730.0
2021-07-12,2021-07-12,4370.74,1440.0,7170.0
2021-07-19,2021-07-19,4277.21,1900.0,9070.0
2021-07-26,2021-07-26,4409.62,1635.0,10705.0
2021-08-02,2021-08-02,4415.63,1665.0,12370.0
2021-08-09,2021-08-09,4429.21,1630.0,14000.0
2021-08-16,2021-08-16,4448.59,3590.0,17590.0
2021-08-30,2021-08-30,4515.73,1505.0,19095.0
2021-09-13,2021-09-13,4476.15,1720.0,20815.0
2021-09-20,2021-09-20,4379.82,1990.0,22805.0
2021-09-27,2021-09-27,4441.41,1755.0,24560.0
2021-10-04,2021-10-04,4340.54,2085.0,26645.0
2021-10-11,2021-10-11,4396.24,1910.0,28555.0
2021-10-18,2021-10-18,4459.91,1650.0,30205.0
2021-10-25,2021-10-25,4542.89,1615.0,31820.0
2021-11-01,2021-11-01,4612.9,1625.0,33445.0
2021-11-08,2021-11-08,4708.21,1510.0,34955.0
2021-11-15,2021-11-15,4691.79,1560.0,36515.0
2021-11-22,2021-11-22,4725.94,1540.0,38055.0
2021-11-29,2021-11-29,4641.79,2065.0,40120.0
2021-12-06,2021-12-06,4564.19,4130.0,44250.0
2021-12-13,2021-12-13,4701.33,3835.0,48085.0
2021-12-20,2021-12-20,4561.04,2030.0,50115.0
2021-12-27,2021-12-27,4749.66,3790.0,53905.0
2022-01-03,2022-01-03,4789.54,-5493.0,48412.0
2022-01-10,2022-01-10,4624.72,3840.0,52252.0
2022-01-31,2022-01-31,4436.29,2330.0,54582.0
2022-02-07,2022-02-07,4506.92,1980.0,56562.0
2022-02-14,2022-02-14,4411.93,2310.0,58872.0
2022-02-28,2022-02-28,4339.66,2400.0,61272.0
2022-03-07,2022-03-07,4295.25,2890.0,64162.0
2022-03-14,2022-03-14,4216.06,2450.0,66612.0
2022-03-21,2022-03-21,4475.17,4230.0,70842.0
2022-03-28,2022-03-28,4542.16,-6384.0,64458.0
2022-04-04,2022-04-04,4547.56,-22973.0,41485.0
2022-04-11,2022-04-11,4455.46,4015.0,45500.0
2022-04-18,2022-04-18,4404.46,4045.0,49545.0
2022-04-25,2022-04-25,4229.13,4045.0,53590.0
2022-05-02,2022-05-02,4134.35,4240.0,57830.0
2022-05-09,2022-05-09,4063.08,4210.0,62040.0
2022-05-16,2022-05-16,4004.01,4235.0,66275.0
2022-05-23,2022-05-23,3935.62,4290.0,70565.0
2022-06-06,2022-06-06,4150.64,4170.0,74735.0
2022-06-13,2022-06-13,3804.22,2140.0,76875.0
2022-06-27,2022-06-27,3900.47,2120.0,78995.0
2022-07-11,2022-07-11,3858.06,2190.0,81185.0
2022-07-18,2022-07-18,3898.55,2040.0,83225.0
2022-07-25,2022-07-25,3967.31,1960.0,85185.0
2022-08-01,2022-08-01,4115.89,3960.0,89145.0
2022-08-08,2022-08-08,4180.24,-8862.0,80283.0
2022-08-15,2022-08-15,4261.77,-28265.0,52018.0
2022-08-22,2022-08-22,4173.4,-12102.0,39916.0
2022-08-29,2022-08-29,4036.8,-2567.0,37349.0
2022-09-12,2022-09-12,4095.67,3935.0,41284.0
2022-09-19,2022-09-19,3859.32,2260.0,43544.0
2022-09-26,2022-09-26,3686.56,2225.0,45769.0
2022-10-03,2022-10-03,3616.79,2120.0,47889.0
2022-10-10,2022-10-10,3640.88,2090.0,49979.0
2022-10-17,2022-10-17,3677.14,2025.0,52004.0
2022-10-31,2022-10-31,3881.33,2150.0,54154.0
2022-11-07,2022-11-07,3779.01,2200.0,56354.0
2022-11-14,2022-11-14,3972.21,3830.0,60184.0
2022-11-21,2022-11-21,3949.17,1740.0,61924.0
2022-11-28,2022-11-28,4007.8,1730.0,63654.0
2022-12-05,2022-12-05,4046.35,2972.0,66626.0
2022-12-12,2022-12-12,3938.68,1775.0,68401.0
2022-12-19,2022-12-19,3848.26,1575.0,69976.0
2023-01-09,2023-01-09,3918.32,1655.0,71631.0
2023-01-30,2023-01-30,4048.77,3620.0,75251.0
2023-02-06,2023-02-06,4108.48,3770.0,79021.0
2023-02-13,2023-02-13,4102.53,1830.0,80851.0
2023-02-27,2023-02-27,3998.68,1735.0,82586.0
2023-03-06,2023-03-06,4060.67,1530.0,84116.0
2023-03-13,2023-03-13,3814.19,1905.0,86021.0
2023-03-20,2023-03-20,3923.43,1955.0,87976.0
2023-03-27,2023-03-27,3999.72,1785.0,89761.0
2023-04-03,2023-04-03,4111.41,1675.0,91436.0
2023-04-10,2023-04-10,4080.14,1650.0,93086.0
2023-04-17,2023-04-17,4141.1,1410.0,94496.0
2023-04-24,2023-04-24,4139.55,1450.0,95946.0
2023-05-01,2023-05-01,4173.06,1475.0,97421.0
2023-05-08,2023-05-08,4135.81,1645.0,99066.0
2023-05-15,2023-05-15,4122.83,1560.0,100626.0
2023-05-22,2023-05-22,4202.56,1430.0,102056.0
2023-06-05,2023-06-05,4292.74,1140.0,103196.0
2023-06-12,2023-06-12,4308.78,1050.0,104246.0
2023-06-26,2023-06-26,4357.05,1175.0,105421.0
2023-07-03,2023-07-03,4449.84,3070.0,108491.0
2023-07-10,2023-07-10,4404.05,1245.0,109736.0
2023-07-17,2023-07-17,4505.99,985.0,110721.0
2023-07-31,2023-07-31,4592.39,3040.0,113761.0
2023-08-07,2023-08-07,4494.95,3315.0,117076.0
2023-08-14,2023-08-14,4459.88,3390.0,120466.0
2023-08-21,2023-08-21,4387.65,3080.0,123546.0
2023-08-28,2023-08-28,4432.58,3350.0,126896.0
2023-09-11,2023-09-11,4479.2,-9965.0,116931.0
2023-09-18,2023-09-18,4445.62,3150.0,120081.0
2023-09-25,2023-09-25,4313.51,1550.0,121631.0
2023-10-02,2023-10-02,4291.14,1440.0,123071.0
2023-10-09,2023-10-09,4299.19,1525.0,124596.0
2023-10-16,2023-10-16,4350.44,1425.0,126021.0
2023-10-30,2023-10-30,4157.9,1550.0,127571.0
2023-11-06,2023-11-06,4364.15,1190.0,128761.0
2023-11-13,2023-11-13,4395.58,1190.0,129951.0
2023-11-20,2023-11-20,4522.46,910.0,130861.0
2023-11-27,2023-11-27,4548.67,1005.0,131866.0
2023-12-04,2023-12-04,4567.48,1020.0,132886.0
2023-12-11,2023-12-11,4603.05,1060.0,133946.0
2023-12-18,2023-12-18,4732.43,905.0,134851.0
2024-01-08,2024-01-08,4706.94,1160.0,136011.0
2024-01-22,2024-01-22,4860.45,1320.0,137331.0
2024-01-29,2024-01-29,4894.71,1035.0,138366.0
2024-02-05,2024-02-05,4947.75,1055.0,139421.0
2024-02-12,2024-02-12,5026.94,985.0,140406.0
2024-02-26,2024-02-26,5091.47,970.0,141376.0
2024-03-04,2024-03-04,5131.71,2955.0,144331.0
2024-03-11,2024-03-11,5111.4,1265.0,145596.0
2024-03-18,2024-03-18,5165.83,1333.0,146929.0
2024-03-25,2024-03-25,5217.75,1100.0,148029.0
2024-04-01,2024-04-01,5262.12,1110.0,149139.0
2024-04-08,2024-04-08,5204.82,1450.0,150589.0
2024-04-15,2024-04-15,5166.95,1465.0,152054.0
2024-04-22,2024-04-22,4987.45,1490.0,153544.0
2024-04-29,2024-04-29,5107.2,1240.0,154784.0
2024-05-06,2024-05-06,5157.33,1245.0,156029.0
2024-05-13,2024-05-13,5227.3,1110.0,157139.0
2024-05-20,2024-05-20,5311.86,970.0,158109.0
2024-06-03,2024-06-03,5299.55,1090.0,159199.0
2024-06-10,2024-06-10,5334.18,1100.0,160299.0
2024-06-17,2024-06-17,5426.73,1095.0,161394.0
2024-06-24,2024-06-24,5459.74,3215.0,164609.0
2024-07-01,2024-07-01,5470.11,1225.0,165834.0
2024-07-08,2024-07-08,5578.14,1195.0,167029.0
2024-07-15,2024-07-15,5638.03,1145.0,168174.0
2024-07-22,2024-07-22,5553.72,3310.0,171484.0
2024-07-29,2024-07-29,5477.32,1435.0,172919.0
2024-08-12,2024-08-12,5336.0,1760.0,174679.0
2024-08-19,2024-08-19,5563.57,1450.0,176129.0
2024-08-26,2024-08-26,5645.0,1480.0,177609.0
2024-09-09,2024-09-09,5452.66,1765.0,179374.0
2024-09-16,2024-09-16,5615.4,1710.0,181084.0
2024-09-23,2024-09-23,5712.31,1525.0,182609.0
2024-09-30,2024-09-30,5731.76,1865.0,184474.0
2024-10-07,2024-10-07,5731.02,1995.0,186469.0
2024-10-14,2024-10-14,5841.0,1730.0,188199.0
2024-10-21,2024-10-21,5858.97,1805.0,190004.0
2024-10-28,2024-10-28,5834.75,1930.0,191934.0
2024-11-04,2024-11-04,5726.92,1970.0,193904.0
2024-11-11,2024-11-11,6008.9,1405.0,195309.0
2024-11-18,2024-11-18,5874.24,1615.0,196924.0
2024-11-25,2024-11-25,6017.67,3630.0,200554.0
2024-12-02,2024-12-02,6039.62,3150.0,203704.0
2024-12-09,2024-12-09,6081.19,1105.0,204809.0
2024-12-16,2024-12-16,6063.22,1235.0,206044.0
2024-12-23,2024-12-23,5932.17,1955.0,207999.0
2024-12-30,2024-12-30,5885.25,1795.0,209794.0
2025-01-06,2025-01-06,5995.68,1620.0,211414.0
2025-01-13,2025-01-13,5788.79,2035.0,213449.0
2025-01-27,2025-01-27,5994.91,3605.0,217054.0
2025-02-03,2025-02-03,5954.66,3785.0,220839.0
2025-02-10,2025-02-10,6049.13,-8637.0,212202.0
2025-02-24,2025-02-24,6023.4,-23985.0,188217.0
2025-03-03,2025-03-03,5960.58,-23215.0,165002.0
2025-03-10,2025-03-10,5700.02,4315.0,169317.0
2025-03-17,2025-03-17,5665.94,4105.0,173422.0
2025-03-31,2025-03-31,5493.52,2245.0,175667.0
2025-04-14,2025-04-14,5425.16,2760.0,178427.0
2025-04-21,2025-04-21,5211.81,2700.0,181127.0
2025-05-05,2025-05-05,5642.4,2005.0,183132.0
2025-05-12,2025-05-12,5803.13,2355.0,185487.0
2025-05-19,2025-05-19,5918.27,1855.0,187342.0
2025-06-02,2025-06-02,5902.26,2050.0,189392.0
2025-06-09,2025-06-09,6001.35,1835.0,191227.0
2025-06-16,2025-06-16,6020.38,1980.0,193207.0
2025-06-23,2025-06-23,5977.93,2205.0,195412.0
2025-06-30,2025-06-30,6186.49,1890.0,197302.0
2025-07-07,2025-07-07,6256.8,2065.0,199367.0
2025-07-14,2025-07-14,6240.48,1945.0,201312.0
2025-07-21,2025-07-21,6315.43,1860.0,203172.0
2025-07-28,2025-07-28,6394.68,1695.0,204867.0
2025-08-04,2025-08-04,6297.76,2000.0,206867.0
2025-08-11,2025-08-11,6394.47,1820.0,208687.0
2025-08-18,2025-08-18,6448.08,1930.0,210617.0
2025-08-25,2025-08-25,6455.67,1895.0,212512.0
2025-09-08,2025-09-08,6497.08,1955.0,214467.0
2025-09-15,2025-09-15,6603.5,1790.0,216257.0
2025-09-22,2025-09-22,6652.89,1850.0,218107.0
2025-09-29,2025-09-29,6668.92,1910.0,220017.0
2025-10-06,2025-10-06,6726.17,3875.0,223892.0
2025-10-13,2025-10-13,6634.09,2215.0,226107.0
2025-10-20,2025-10-20,6709.6,2115.0,228222.0
2025-10-27,2025-10-27,6851.03,1840.0,230062.0
2025-11-03,2025-11-03,6852.89,2230.0,232292.0
2025-11-10,2025-11-10,6808.36,2150.0,234442.0
2025-11-17,2025-11-17,6736.49,1870.0,236312.0
2025-11-24,2025-11-24,6643.86,2095.0,238407.0
2025-12-01,2025-12-01,6806.53,1595.0,240002.0
2025-12-08,2025-12-08,6871.06,1805.0,241807.0
2025-12-15,2025-12-15,6844.19,1710.0,243517.0
2025-12-22,2025-12-22,6860.88,1551.0,245068.0
2025-12-29,2025-12-29,6912.35,3267.0,248335.0
2026-01-05,2026-01-05,6901.45,1860.0,250195.0
2026-01-12,2026-01-12,6953.11,3001.0,253196.0
2026-01-26,2026-01-26,6945.5,3965.0,257161.0
2026-02-02,2026-02-02,6948.28,4145.0,261306.0
2026-02-09,2026-02-09,6934.58,-4093.0,257213.0
2026-02-23,2026-02-23,6892.83,2390.0,259603.0
2026-03-02,2026-03-02,6835.28,2330.0,261933.0
2026-03-09,2026-03-09,6654.67,2430.0,264363.0
2026-03-16,2026-03-16,6705.54,2550.0,266913.0
2026-03-23,2026-03-23,6606.55,2335.0,269248.0
2026-03-30,2026-03-30,6396.4,2735.0,271983.0
2026-04-06,2026-04-06,6592.07,2645.0,274628.0
2026-04-13,2026-04-13,6793.04,2345.0,276973.0
